statistics_date,HKN,HCN,TNN,XAN,QJN,JBN,ZJN,IHN,JTN,TJN,TEN,MJN,MHN,IYN,GDN,VTN
20190101,101951,4141,15489,1530,8277,19700,3297,14,11,1403,1,130,178,87,9666,0
20190102,81276,2851,14661,1185,7979,20378,2492,4,5,1382,0,93,50,23,8244,0
20190103,62860,1701,7878,577,4891,12773,1597,5,1,954,0,26,40,7,6607,0
20190104,64977,1514,6822,467,4237,12059,1465,6,3,799,0,39,33,8,5145,0
20190105,67641,1507,6101,396,4080,11797,1364,4,4,711,0,30,32,5,5365,0
20190106,63289,1527,6956,395,4103,11204,1525,8,7,837,1,39,70,30,5234,0
20190107,65537,1531,7037,504,4427,12503,1467,2,3,687,0,23,32,7,5601,0
20190108,64146,1297,5781,373,3607,10847,1268,4,3,810,0,23,21,9,4737,0
20190109,69403,1182,5496,324,3593,10694,1110,1,7,772,1,15,32,5,4470,0
20190110,74383,1196,5821,353,3527,11447,1146,2,8,906,1,13,28,1,4707,0
20190111,86394,1432,7994,424,3816,14776,1276,6,4,900,0,26,28,11,5298,0
20190112,89758,1511,7993,388,4391,18416,1401,5,4,944,0,37,50,6,5742,0
20190113,79182,1820,7530,566,4059,16630,1522,15,11,1132,0,60,41,48,5507,0
20190114,73863,1691,7965,573,4702,18057,1547,2,2,942,1,27,39,6,5781,0
20190115,72682,1389,6447,502,4565,15733,1337,4,4,909,0,13,32,3,4368,0
20190116,77844,1555,6498,448,6031,15440,1339,5,6,892,1,29,32,4,4558,0
20190117,80559,1704,6473,383,4401,13353,1164,7,4,888,0,38,18,9,4667,0
20190118,91578,1873,7496,479,4326,13330,1489,8,8,924,0,40,25,11,6072,0
20190119,91798,1825,7012,538,4233,12090,1366,7,10,1043,1,28,35,13,5810,0
20190120,84804,2202,7705,782,4698,12357,1683,12,12,1008,1,26,50,34,5164,0
20190121,87871,2071,8392,752,4823,12695,1587,5,3,974,1,22,32,5,5667,0
20190122,89822,2067,7529,662,4391,12073,1503,3,10,966,0,44,30,7,4634,0
20190123,91244,1960,7482,759,4434,12690,1525,6,14,998,0,43,55,3,4871,0
20190124,96253,1980,7987,777,4486,12617,1592,5,4,968,0,42,39,2,4718,0
20190125,109542,2152,7852,768,4638,13951,1611,8,10,1031,0,32,50,7,5053,0
20190126,112881,2173,7743,745,4296,14117,1690,9,17,1221,0,113,48,5,5389,0
20190127,118489,2178,8198,872,4276,13254,1699,5,22,1182,2,61,60,20,5217,0
20190128,124702,2261,8829,1004,4699,13608,1785,7,10,1165,1,58,48,9,5503,0
20190129,121395,2082,7707,826,4303,12703,1693,10,13,1221,1,47,46,10,4511,0
20190130,118478,2082,8283,899,4537,13827,1812,13,14,1278,1,25,51,4,4667,0
20190131,125047,2273,8684,952,4208,13277,1753,9,11,1331,1,52,44,4,4664,0
20190201,129658,2273,8840,951,4244,13392,1829,9,12,1207,0,56,35,4,4593,0
20190202,131952,2094,8136,968,4071,12942,1594,8,21,1256,0,49,46,6,4191,0
20190203,119342,1886,7228,675,3524,11817,1421,7,9,1246,0,47,27,2,4923,0
20190204,60358,1094,2932,264,1578,5820,841,9,9,1266,0,49,26,6,2301,0
20190205,39407,1612,5113,669,2781,6890,1170,5,5,1052,0,80,43,9,3391,0
20190206,52362,3003,11048,1564,5746,14748,1952,15,15,961,0,113,58,9,4533,0
20190207,71497,3645,14627,1774,6839,16714,2547,1,5,907,0,121,96,9,5683,0
20190208,77114,3235,15825,1729,7186,17145,2579,3,12,1046,2,124,75,8,6651,0
20190209,91259,3033,17559,2000,7777,19460,2980,16,7,950,2,99,68,11,7705,0
20190210,94450,2724,14885,2073,8485,20046,3539,3,10,936,2,51,125,22,8747,0
20190211,103641,2102,11791,1727,7645,20012,3664,10,38,953,0,60,102,32,9045,0
20190212,100830,2288,15094,1903,9107,23410,3123,16,9,965,0,60,85,32,9056,0
20190213,99825,2143,15280,1770,8718,21564,2977,9,10,973,0,78,93,23,8801,0
20190214,94448,2020,14970,1538,7732,18857,2615,6,4,922,0,54,109,11,8340,0
20190215,87797,1824,13992,1817,7078,18275,2516,9,11,807,0,48,79,14,7962,0
20190216,89679,1799,12639,1720,6728,18616,2216,3,9,962,0,50,103,21,7580,0
20190217,82065,2081,13973,1399,6784,18308,2308,11,14,989,0,44,112,40,7673,0
20190218,84643,2192,15261,1512,7763,20158,2298,10,17,847,0,35,74,13,6753,0
20190219,69738,2225,13706,1538,6940,17047,1944,7,6,1023,1,98,80,24,5590,0
20190220,82947,2131,15767,2006,7610,18207,2799,7,10,937,0,55,82,22,7990,0
20190221,88229,1922,16923,2006,8966,21699,2521,3,5,839,0,45,68,11,8023,0
20190222,93005,1814,13711,1861,8785,21347,2450,12,5,850,0,50,81,13,7742,0
20190223,95253,1974,13239,1320,8957,21617,2356,7,3,928,0,41,110,24,8374,0
20190224,88139,2012,13487,1478,8852,20928,2450,8,25,1075,1,86,122,63,10494,0
20190225,81412,1868,15649,1409,9126,20128,2288,4,3,1263,1,35,54,5,7695,0
20190226,72437,1652,11476,1044,6715,15247,1877,2,1,937,0,17,39,5,6060,0
20190227,68988,1701,10295,817,6214,14577,1721,5,3,756,0,15,36,6,5428,0
20190228,68922,1606,11153,925,5620,14230,1626,2,6,744,0,16,52,6,5575,0
20190301,77140,1854,9368,691,5663,15795,1770,9,9,794,0,19,45,10,5771,0
20190302,75913,1735,9965,710,5646,15096,1838,7,6,919,2,33,51,12,6708,0
20190303,71557,2175,9775,691,5682,14121,2111,12,15,921,0,32,70,43,6328,0
20190304,71345,1842,10427,839,6280,14804,1987,7,3,944,2,14,45,9,6419,0
20190305,64376,1695,7908,536,4825,11962,1547,7,3,742,0,17,48,5,5044,0
20190306,63798,1404,8131,472,4684,12646,1560,5,6,731,1,22,35,4,5088,0
20190307,64393,1423,7340,466,4379,12561,1599,4,6,699,0,17,33,5,4817,0
20190308,80804,1829,9242,543,5296,14903,1816,9,18,755,0,27,58,5,6138,0
20190309,76312,1826,8855,550,5178,14436,1774,13,6,877,0,38,55,7,6614,0
20190310,76243,2448,10302,740,5831,15083,2111,13,11,982,0,48,105,54,6825,0
20190311,76839,1992,10050,671,5819,15505,1959,10,1,653,8,28,48,11,6354,0
20190312,66795,1540,7967,538,4640,12639,1539,3,4,807,0,16,45,9,5337,0
20190313,67036,1418,7279,444,4679,12361,1376,11,4,692,1,11,28,10,5045,0
20190314,66889,1671,7632,479,4383,12700,1451,6,4,649,4,16,35,18,5080,0
20190315,83961,1929,8562,476,5542,15836,1693,8,5,685,0,22,53,20,6191,0
20190316,80971,1998,9289,542,5334,15487,1955,2,5,916,0,30,57,13,6771,0
20190317,83761,2606,10042,599,6029,15210,2348,11,7,817,0,60,115,54,6774,0
20190318,78309,2098,9744,634,5990,15370,2102,2,5,860,0,18,39,23,6648,0
20190319,69029,1521,7433,461,4445,12554,1657,3,4,706,0,22,33,14,5046,0
20190320,69514,1539,6989,387,4409,12518,1616,10,2,798,0,6,23,22,5070,0
20190321,70022,1428,6864,399,4387,12750,1571,7,4,684,0,25,31,11,4823,0
20190322,85770,1643,7745,456,5084,14443,1599,11,4,731,0,7,39,19,5610,0
20190323,82822,1753,7945,438,5008,14700,1599,5,9,735,0,33,39,21,6229,0
20190324,87951,2405,8949,650,5683,14398,2092,4,13,936,0,57,87,45,6534,0
20190325,80143,2028,9510,585,5943,15402,2169,8,5,987,0,21,34,12,6363,0
20190326,71581,1577,7252,454,4779,13550,1654,6,3,751,0,30,38,18,5209,0
20190327,72254,1521,6842,388,4651,13016,1561,7,7,699,0,30,37,9,4930,0
20190328,71899,1560,6941,367,4674,13036,1578,9,5,695,1,11,44,10,4698,0
20190329,91836,1641,8004,476,5401,15420,1842,9,8,717,0,47,48,13,5410,0
