statistics_date,HKN,HCN,TNN,XAN,QJN,JBN,ZJN,IHN,JTN,TJN,TEN,MJN,MHN,IYN,GDN,VTN
20190101,11861836.0,161734.0,856338.0,79828.0,529219.0,1336684.0,217254.0,187.0,150.0,18040.0,10.0,1113.7,2753.2,1317.0,233025.0,0.0
20190102,9852517.0,137283.0,882834.0,69522.0,563290.0,2023903.0,178761.0,85.0,84.0,16594.0,0.0,749.6,830.5,329.0,211738.0,0.0
20190103,7355199.0,98879.0,594833.0,37390.0,446268.0,1428781.0,125507.0,117.0,29.0,11637.0,0.0,239.5,596.0,114.0,161847.0,0.0
20190104,7393425.0,102523.0,499335.0,26150.0,338425.0,1424304.0,114968.0,98.0,71.0,9507.0,0.0,412.9,579.5,135.0,145706.0,0.0
20190105,7166489.0,97834.0,484236.0,23777.0,364967.0,1361327.0,105387.0,56.0,67.0,8821.0,0.0,248.5,753.7,74.0,104249.0,0.0
20190106,7447609.0,108033.0,550142.0,32795.0,362582.0,1315421.0,116855.0,149.0,135.0,10700.0,20.0,319.8,1154.7,473.0,99077.0,0.0
20190107,7289735.0,94064.0,457835.0,27072.0,341891.0,1313338.0,104586.0,33.0,48.0,9328.0,0.0,234.5,606.0,98.0,108558.0,0.0
20190108,7348895.0,84325.0,413883.0,23401.0,286634.0,1122377.0,101341.0,97.0,49.0,11062.0,0.0,209.3,306.5,128.0,91588.0,0.0
20190109,7985667.0,74407.0,398054.0,19114.0,278855.0,1162238.0,91387.0,7.0,114.0,10938.0,10.0,112.7,518.2,75.0,92733.0,0.0
20190110,8623464.0,90746.0,451525.0,22320.0,307511.0,1165403.0,94655.0,27.0,136.0,12767.0,7.0,88.6,460.2,21.0,94986.0,0.0
20190111,9699935.0,87566.0,621121.0,29271.0,309246.0,1457167.0,95659.0,82.0,52.0,12724.0,0.0,228.6,575.4,152.0,110695.0,0.0
20190112,9324907.0,90314.0,586957.0,24402.0,347220.0,1681605.0,102290.0,65.0,74.0,13404.0,0.0,345.0,792.4,88.0,119419.0,0.0
